tweetID	label	tweetText
1241075285421953024	False	"قبل ظهور وباء #فيروس_كورونا، تنبأت بعض الأعمال الفنية بظهور أوبئة مشابهة ووضع مصير العالم في خطر، أشهرها فيلم  ""Contagion"" عام 2011. https://t.co/r3frLwvG0K"
1241093810131742720	False	"قبل ظهور وباء #فيروس_كورونا، تنبأت بعض الأعمال الفنية بظهور أوبئة مشابهة ووضع مصير العالم في خطر، أشهرها فيلم  ""Contagion"" عام 2011. https://t.co/JFlaHCeuyV"
1241118740038717440	False	"قبل ظهور وباء #فيروس_كورونا، تنبأت بعض الأعمال الفنية بظهور أوبئة مشابهة ووضع مصير العالم في خطر، أشهرها فيلم  ""Contagion"" عام 2011 https://t.co/UOMNGdsUvf"
1221790306854678528	False	"فيديو| #أمريكا تتنبأ بـ«#كورونا» منذ 9 سنوات والدليل «كونتيجن»
 https://t.co/VCpKHZoW4K https://t.co/sC1QaRzHeJ"
1237777414870220800	False	"تحدث عن الصين والخفافيش.. فيلم «كونتيجن» تنبأ بـ«#كورونا» قبل 9 سنوات (فيديو)

https://t.co/7NOAg8DYNO https://t.co/Eu3v6JqPKH"
1222232876760076290	False	"هذا الفيلم تنبأ بفيروس كورونا الجديد: والنهاية لم تكن سعيدة

أشار عشاق فيلم Contagion أو العدوى، الذي صدر عام 2011، إلى التشابه بين الفيلم وفيروس كورونا الجديد.
وفي تعليقاتهم على تويتر، كتبوا: كل شيء يبدو متشابها بشكل مرعب، الخفافيش كانت المصدر. الفيلم يحدث في العالم الحقيقي الآن https://t.co/P5NmIOaebS"
1244312675007500297	False	"فيلم «عدوى ــ Contagion»، انتج عام 2011، وتنبأ بانتشار فيروس #Covid_19 يحكى الفيلم ما يحدث فى العالم بسبب فيروس #كورونا Contagion يوثق انتشار مرض معدٍ ومميت ينتقل عبر الخفافيش والخنازير ويهدد البشرية ويحتاج العالم، بعد انتشاره بالصين أيضا.👇
https://t.co/SI1SciyA72
#فيروس_كورونا"
1237021449216495617	False	فيلم امريكي يتنبأ بمرض #كورنا من عشر سنوات بالاضافه للبلد #الصين_كورونا ومصدر المرض الخفافيش.. هي هذه صدفه ام حرب مدبره.. https://t.co/IpJcFZ10gP
1225922267953147909	False	"فيلم #Contagion إنتاج 2011
فيلم يتنبأ بفيروس #كورونا 
نفس الأعراض
 نفس مصدر الفيروس
موت الملايين https://t.co/DSBamgImJt"
1226602878971846657	False	"فيلم ""العدوى"" #Contagion  عرض سنة 2011 هذا الفيلم تنبأ بمرض #كورونا قبل 9سنوات. https://t.co/nuofHguoSq"
1228409143637291019	True	"الفيديو المتداول بعنوان «الصين بدأت بقتل المصابين بفيروس #كورونا» غير صحيح, والحقيقة أن الفيديو مفبرك وذلك عبر دمج  ثلاثة مقاطع مختلفة وإستخدام فيديو آخر للشرطة وهي تتعامل مع كلب مسعور.
https://t.co/6buJWYCqrQ https://t.co/6BfD8CWDcy"
1228439609358585856	True	الفيديو المتداول بعنوان «الصين بدأت بقتل المصابين بفيروس #كورونا» غير صحيح, والحقيقة أن الفيديو مفبرك وذلك عبر دمج  ثلاثة مقاطع مختلفة وإستخدام فيديو آخر للشرطة وهي تتعامل مع كلب مسعور. https://t.co/HaznJAqwnP
